name,image_num,productID,price,inventory,sell_num,seller_ID,reputation,QA,buyer_num,payment,status,location,upload-time,buylimit,start_price,end,delivery,all_sell_num,update-time,a,b,c,d
(金士曼) 加長版 鐵網線 傳輸線 充電線 數據線 安卓充電線 type-c充電線 適用於 iPhone oppo 三星,7,21926848841788,$95,99,25,zazalas1,2446,0,19,"['(金士曼) 加長版 鐵網線 傳輸線 充電線 數據線 安卓充電線 type-c充電線 適用於 iPhone oppo 三星', '賣家保固 ', '可開發票 ', '有多種顏色 ', 'Pi 拍錢包X支付連', 'PChomePay支付連 信用卡', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', 'PChome國際連儲值餘額', '郵局快捷貨到付款', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '宅急便「黑貓PAY貨到付款」', '面交取貨付款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.屏東縣,上架時間： 2019-06-24 22:02:08,評價總分必須 ≧ 0分,$95元,可能會提前結束販售,"['賣家保固', '可開發票', '有多種顏色', 'Pi 拍錢包X支付連', '最高P幣 4.5% 回饋(說明)PChomePay支付連 信用卡PChomePay支付連 現金 (ATM、餘額、銀行支付)PChome國際連儲值餘額儲值郵局快捷貨到付款7-11取貨付款全家、OK、萊爾富取貨付款宅急便「黑貓PAY貨到付款」面交取貨付款', '全家、OK、萊爾富取貨付款', '60', '元7-11取貨付款', '60', '元7-11取貨', '60', '元宅急便「黑貓PAY貨到付款」', '70', '元郵局快捷貨到付款', '150', '元郵寄寄送', '40', '元宅配/快遞', '70', '元離島寄送', '60', '元面交取貨面交取貨付款']",304,2019-09-01 15:03:59,21904684329839,廣告,['col3f'],4
(金士曼) 高穩定 分線器 Lightning 轉接頭 耳機 聽歌 手機 通話 充電線 轉接線 Iphone 分線器,8,21917121633398,$165,99,70,zazalas1,2446,3,68,"['(金士曼) 高穩定 分線器 Lightning 轉接頭 耳機 聽歌 手機 通話 充電線 轉接線 Iphone 分線器', '賣家保固 ', '可開發票 ', 'Pi 拍錢包X支付連', 'PChomePay支付連 信用卡', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', 'PChome國際連儲值餘額', '郵局快捷貨到付款', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '宅急便「黑貓PAY貨到付款」', '面交取貨付款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.屏東縣,上架時間： 2019-04-24 20:48:35,評價總分必須 ≧ 0分,$165元,可能會提前結束販售,"['賣家保固', '可開發票', 'Pi 拍錢包X支付連', '最高P幣 4.5% 回饋(說明)PChomePay支付連 信用卡PChomePay支付連 現金 (ATM、餘額、銀行支付)PChome國際連儲值餘額儲值郵局快捷貨到付款7-11取貨付款全家、OK、萊爾富取貨付款宅急便「黑貓PAY貨到付款」面交取貨付款', '全家、OK、萊爾富取貨付款', '60', '元7-11取貨付款', '60', '元7-11取貨', '60', '元宅急便「黑貓PAY貨到付款」', '70', '元郵局快捷貨到付款', '150', '元郵寄寄送', '40', '元宅配/快遞', '70', '元離島寄送', '60', '元面交取貨面交取貨付款']",304,2019-10-17 13:03:40,21904694218815,廣告,['col3f'],49
(金士曼) 磁吸充電線 安卓充電線 TYPE-C充電線 IPHONE充電線 磁吸 充電線 磁吸線,8,21932363483060,$100,99,91,zazalas1,2446,4,59,"['(金士曼) 磁吸充電線 安卓充電線 TYPE-C充電線 IPHONE充電線 磁吸 充電線 磁吸線', '賣家保固 ', '可開發票 ', 'Pi 拍錢包X支付連', 'PChomePay支付連 信用卡', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', 'PChome國際連儲值餘額', '郵局快捷貨到付款', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '宅急便「黑貓PAY貨到付款」', '面交取貨付款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.屏東縣,上架時間： 2019-08-07 00:10:54,評價總分必須 ≧ 0分,$100元,可能會提前結束販售,"['賣家保固', '可開發票', 'Pi 拍錢包X支付連', '最高P幣 4.5% 回饋(說明)PChomePay支付連 信用卡PChomePay支付連 現金 (ATM、餘額、銀行支付)PChome國際連儲值餘額儲值郵局快捷貨到付款7-11取貨付款全家、OK、萊爾富取貨付款宅急便「黑貓PAY貨到付款」面交取貨付款', '全家、OK、萊爾富取貨付款', '60', '元7-11取貨付款', '60', '元7-11取貨', '60', '元宅急便「黑貓PAY貨到付款」', '70', '元郵局快捷貨到付款', '150', '元郵寄寄送', '40', '元宅配/快遞', '70', '元離島寄送', '60', '元面交取貨面交取貨付款']",304,2019-09-29 12:57:40,21445663189650,廣告,['col3f'],25
(金士曼) 智能斷電 傳輸線 充電線 數據線 安卓充電線 Type-C充電線 適用於 IPhone Oppo 三星 小米,7,21918315765884,$190,99,60,zazalas1,2446,7,51,"['(金士曼) 智能斷電 傳輸線 充電線 數據線 安卓充電線 Type-C充電線 適用於 IPhone Oppo 三星 小米', '賣家保固 ', '可開發票 ', '有多種尺寸 ', 'Pi 拍錢包X支付連', 'PChomePay支付連 信用卡', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', 'PChome國際連儲值餘額', '郵局快捷貨到付款', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '宅急便「黑貓PAY貨到付款」', '面交取貨付款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.屏東縣,上架時間： 2019-05-01 19:44:21,評價總分必須 ≧ 0分,$190元,可能會提前結束販售,"['賣家保固', '可開發票', '有多種尺寸', 'Pi 拍錢包X支付連', '最高P幣 4.5% 回饋(說明)PChomePay支付連 信用卡PChomePay支付連 現金 (ATM、餘額、銀行支付)PChome國際連儲值餘額儲值郵局快捷貨到付款7-11取貨付款全家、OK、萊爾富取貨付款宅急便「黑貓PAY貨到付款」面交取貨付款', '全家、OK、萊爾富取貨付款', '60', '元7-11取貨付款', '60', '元7-11取貨', '60', '元宅急便「黑貓PAY貨到付款」', '70', '元郵局快捷貨到付款', '150', '元郵寄寄送', '40', '元宅配/快遞', '70', '元離島寄送', '60', '元面交取貨面交取貨付款']",304,2019-09-03 17:49:01,21707288442128,廣告,['col3f'],25
安卓 蘋果編織充電線 Type-C Lightning 2A電流 快充線 充電線 手機傳輸數據線充電線 iphone,9,21948952342975,$109,19,1,camellia238,515,0,1,"['安卓 蘋果編織充電線 Type-C Lightning 2A電流 快充線 充電線 手機傳輸數據線充電線 iphone', '有多種顏色 ', '支援付款快手', 'Pi 拍錢包X支付連', 'PChomePay支付連 信用卡', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '銀行或郵局轉帳', '面交取貨付款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.高雄市,上架時間： 2019-11-29 10:08:53,0,$109元,可能會提前結束販售,"['有多種顏色', '支援付款快手', 'Pi 拍錢包X支付連', '最高P幣 4.5% 回饋(說明)PChomePay支付連 信用卡PChomePay支付連 現金 (ATM、餘額、銀行支付)7-11取貨付款全家、OK、萊爾富取貨付款銀行或郵局轉帳面交取貨付款', '全家、OK、萊爾富取貨付款', '60', '元7-11取貨付款', '60', '元7-11取貨', '60', '元郵寄寄送', '60', '元面交取貨面交取貨付款']",172,0,21306013652122,廣告,"['col3f', 's_shining']",0
(金士曼) 編織線 傳輸線 充電線 數據線 安卓充電線 type-c充電線 適用於 iPhone oppo 三星,7,21917114904289,$80,99,23,zazalas1,2446,0,23,"['(金士曼) 編織線 傳輸線 充電線 數據線 安卓充電線 type-c充電線 適用於 iPhone oppo 三星', '賣家保固 ', '可開發票 ', '有多種尺寸 ', '有多種顏色 ', 'Pi 拍錢包X支付連', 'PChomePay支付連 信用卡', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', 'PChome國際連儲值餘額', '郵局快捷貨到付款', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '宅急便「黑貓PAY貨到付款」', '面交取貨付款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.屏東縣,上架時間： 2019-04-24 15:50:51,評價總分必須 ≧ 0分,$80元,可能會提前結束販售,"['賣家保固', '可開發票', '有多種尺寸', '有多種顏色', 'Pi 拍錢包X支付連', '最高P幣 4.5% 回饋(說明)PChomePay支付連 信用卡PChomePay支付連 現金 (ATM、餘額、銀行支付)PChome國際連儲值餘額儲值郵局快捷貨到付款7-11取貨付款全家、OK、萊爾富取貨付款宅急便「黑貓PAY貨到付款」面交取貨付款', '全家、OK、萊爾富取貨付款', '60', '元7-11取貨付款', '60', '元7-11取貨', '60', '元宅急便「黑貓PAY貨到付款」', '70', '元郵局快捷貨到付款', '150', '元郵寄寄送', '40', '元宅配/快遞', '70', '元離島寄送', '60', '元面交取貨面交取貨付款']",304,2019-10-09 19:13:18,21203025900419,廣告,['col3f'],6
【coni shop】現貨 蘋果1米Lightning傳輸線 送2線套 充電線 1m iPhone7 8 Plus X,6,21403239853213,$150,99,1076,shultz2120,12663,95,541,"['【coni shop】現貨 蘋果1米Lightning傳輸線 送2線套 充電線 1m iPhone7 8 Plus X', '附禮盒 / 提袋 ', 'Pi 拍錢包X支付連', 'PChomePay支付連 信用卡', '', '', '', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '貨到付款', '面交取貨付款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.台中市,上架時間： 2014-03-23 00:02:26,0,$150元,可能會提前結束販售,"['附禮盒 / 提袋', 'Pi 拍錢包X支付連', '最高P幣 4.5% 回饋(說明)PChomePay支付連 信用卡12\xa0期0 利率每期', '13\xa0元\xa0更多分期PChomePay支付連 現金 (ATM、餘額、銀行支付)7-11取貨付款全家、OK、萊爾富取貨付款貨到付款面交取貨付款', '全家、OK、萊爾富取貨付款', '70', '元7-11取貨付款', '70', '元郵寄寄送', '60', '元宅配/快遞', '60', '元離島寄送', '60', '元貨到付款', '100', '元面交取貨面交取貨付款']",412,2019-07-29 16:39:06,21909976433216,廣告,['col3f'],79
(金士曼) 鐵網線 傳輸線 充電線 數據線 安卓充電線 type-c充電線 適用於 iPhone oppo 三星,7,21917114660446,$70,99,132,zazalas1,2446,2,92,"['(金士曼) 鐵網線 傳輸線 充電線 數據線 安卓充電線 type-c充電線 適用於 iPhone oppo 三星', '賣家保固 ', '可開發票 ', '有多種尺寸 ', '有多種顏色 ', 'Pi 拍錢包X支付連', 'PChomePay支付連 信用卡', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', 'PChome國際連儲值餘額', '郵局快捷貨到付款', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '宅急便「黑貓PAY貨到付款」', '面交取貨付款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.屏東縣,上架時間： 2019-04-24 15:39:23,評價總分必須 ≧ 0分,$70元,可能會提前結束販售,"['賣家保固', '可開發票', '有多種尺寸', '有多種顏色', 'Pi 拍錢包X支付連', '最高P幣 4.5% 回饋(說明)PChomePay支付連 信用卡PChomePay支付連 現金 (ATM、餘額、銀行支付)PChome國際連儲值餘額儲值郵局快捷貨到付款7-11取貨付款全家、OK、萊爾富取貨付款宅急便「黑貓PAY貨到付款」面交取貨付款', '全家、OK、萊爾富取貨付款', '60', '元7-11取貨付款', '60', '元7-11取貨', '60', '元宅急便「黑貓PAY貨到付款」', '70', '元郵局快捷貨到付款', '150', '元郵寄寄送', '40', '元宅配/快遞', '70', '元離島寄送', '60', '元面交取貨面交取貨付款']",304,2019-09-26 12:17:01,21949986707350,廣告,['col3f'],18
Type-C to Lightning  蘋果充電線 iPhone 充電線 TypeC 傳輸線 1.2米【K38】,9,21851254216175,$250,79,67,andthenqq88,30332,7,57,"['Type-C to Lightning  蘋果充電線 iPhone 充電線 TypeC 傳輸線 1.2米【K38】', '公司貨 ', '可開發票 ', '有多種顏色 ', 'Pi 拍錢包X支付連', 'PChomePay支付連 信用卡', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.台南市,上架時間： 2018-12-17 11:51:42,0,$250元,可能會提前結束販售,"['公司貨', '可開發票', '有多種顏色', 'Pi 拍錢包X支付連', '最高P幣 4.5% 回饋(說明)PChomePay支付連 信用卡PChomePay支付連 現金 (ATM、餘額、銀行支付)7-11取貨付款全家、OK、萊爾富取貨付款', '全家、OK、萊爾富取貨付款', '65', '元7-11取貨付款', '90', '元7-11取貨', '80', '元宅配/快遞', '90', '元']",685,2019-10-02 15:39:04,21918315862589,,['col3f'],113
🔰超值現貨 iPhone充電線保護套 本店福利 老闆賠錢賣 全色系現貨 延長線材壽命 蘋果數據線保護套 傳輸線保護套,8,21910076532691,$3,99,73,cityphone,147,0,19,"['🔰超值現貨 iPhone充電線保護套 本店福利 老闆賠錢賣 全色系現貨 延長線材壽命 蘋果數據線保護套 傳輸線保護套', '海外運送 ', 'Pi 拍錢包X支付連', 'PChomePay支付連 信用卡', 'PChomePay支付連 現金 (ATM、餘額、銀行支付)', 'PChome國際連儲值餘額', '7-11取貨付款', '全家、OK、萊爾富取貨付款', '喜歡這商品嗎?按讚及+1推薦給你的朋友吧！']",物品狀況： 全新,物品所在地： 台灣.新北市,上架時間： 2019-03-05 16:52:15,0,$3元,可能會提前結束販售,"['海外運送', 'Pi 拍錢包X支付連', '最高P幣 2.5% 回饋(說明)PChomePay支付連 信用卡PChomePay支付連 現金 (ATM、餘額、銀行支付)PChome國際連儲值餘額儲值7-11取貨付款全家、OK、萊爾富取貨付款', '全家、OK、萊爾富取貨付款', '60', '元7-11取貨付款', '60', '元7-11取貨', '60', '元']",33,2019-09-04 17:16:37,21827314939953,,['col3f'],1
